Ns_mhe;  Co_lvl;  Marker_noise;  EMG_noise;  nb_try;  iter
9; 0; 0; 1; 10; 52
9; 0; 0; 1; 10; 54
9; 0; 0; 1; 13; 51
9; 0; 0; 2; 0; 57
9; 0; 0; 2; 8; 58
9; 0; 0; 3; 1; 55
9; 0; 0; 3; 1; 56
9; 0; 0; 3; 2; 61
9; 0; 0; 3; 14; 27
9; 0; 0; 3; 17; 49
9; 0; 1; 1; 1; 90
9; 0; 1; 2; 7; 59
9; 0; 1; 2; 7; 61
9; 0; 1; 2; 16; 60
9; 0; 1; 3; 1; 56
9; 0; 1; 3; 1; 58
9; 0; 1; 3; 1; 69
9; 0; 1; 3; 1; 70
9; 0; 1; 3; 4; 50
9; 0; 1; 3; 4; 53
9; 0; 1; 3; 6; 64
9; 0; 1; 3; 6; 67
9; 0; 1; 3; 7; 61
9; 0; 1; 3; 8; 52
9; 0; 1; 3; 12; 56
9; 0; 1; 3; 12; 73
9; 0; 1; 3; 12; 74
9; 0; 1; 3; 15; 50
9; 0; 2; 0; 6; 22
9; 0; 2; 2; 14; 58
9; 0; 2; 2; 18; 51
9; 0; 2; 3; 2; 66
9; 0; 2; 3; 6; 79
9; 0; 2; 3; 6; 80
9; 0; 2; 3; 6; 81
9; 0; 2; 3; 6; 82
9; 0; 2; 3; 6; 83
9; 0; 2; 3; 7; 47
9; 0; 2; 3; 7; 55
9; 0; 2; 3; 10; 17
9; 0; 2; 3; 10; 59
9; 0; 2; 3; 10; 78
9; 0; 2; 3; 10; 79
9; 0; 2; 3; 10; 80
9; 0; 2; 3; 10; 81
9; 0; 2; 3; 10; 82
9; 0; 2; 3; 10; 84
9; 0; 2; 3; 10; 85
9; 0; 2; 3; 10; 86
9; 0; 2; 3; 11; 53
9; 0; 2; 3; 13; 48
9; 0; 3; 0; 8; 49
9; 0; 3; 1; 17; 52
9; 0; 3; 2; 12; 54
9; 0; 3; 2; 12; 55
9; 0; 3; 2; 12; 59
9; 0; 3; 3; 0; 67
9; 0; 3; 3; 0; 68
9; 1; 0; 1; 2; 50
9; 1; 0; 1; 17; 91
9; 1; 0; 1; 19; 46
9; 1; 0; 2; 10; 53
9; 1; 0; 2; 10; 63
9; 1; 0; 2; 10; 71
9; 1; 0; 2; 11; 42
9; 1; 0; 2; 13; 47
9; 1; 0; 2; 13; 69
9; 1; 0; 2; 14; 88
9; 1; 0; 2; 14; 89
9; 1; 0; 2; 15; 67
9; 1; 0; 3; 1; 27
9; 1; 0; 3; 3; 7
9; 1; 0; 3; 3; 42
9; 1; 0; 3; 6; 58
9; 1; 0; 3; 6; 59
9; 1; 0; 3; 7; 55
9; 1; 0; 3; 7; 83
9; 1; 0; 3; 8; 48
9; 1; 0; 3; 10; 57
9; 1; 0; 3; 10; 66
9; 1; 0; 3; 10; 67
9; 1; 0; 3; 10; 70
9; 1; 0; 3; 10; 71
9; 1; 0; 3; 10; 72
9; 1; 0; 3; 10; 73
9; 1; 0; 3; 10; 74
9; 1; 0; 3; 10; 78
9; 1; 0; 3; 10; 79
9; 1; 0; 3; 10; 80
9; 1; 0; 3; 12; 70
9; 1; 0; 3; 14; 61
9; 1; 0; 3; 14; 70
9; 1; 0; 3; 14; 76
9; 1; 0; 3; 14; 77
9; 1; 0; 3; 14; 78
9; 1; 0; 3; 14; 83
9; 1; 0; 3; 14; 84
9; 1; 1; 0; 17; 76
9; 1; 1; 1; 1; 90
9; 1; 1; 1; 3; 91
9; 1; 1; 1; 5; 72
9; 1; 1; 1; 5; 73
9; 1; 1; 1; 6; 75
9; 1; 1; 1; 6; 79
9; 1; 1; 1; 7; 70
9; 1; 1; 1; 9; 77
9; 1; 1; 1; 17; 65
9; 1; 1; 1; 18; 83
9; 1; 1; 1; 18; 88
9; 1; 1; 2; 0; 57
9; 1; 1; 2; 0; 66
9; 1; 1; 2; 0; 75
9; 1; 1; 2; 0; 76
9; 1; 1; 2; 0; 77
9; 1; 1; 2; 8; 68
9; 1; 1; 2; 10; 88
9; 1; 1; 2; 13; 47
9; 1; 1; 2; 14; 59
9; 1; 1; 2; 14; 60
9; 1; 1; 2; 17; 33
9; 1; 1; 2; 18; 89
9; 1; 1; 2; 19; 91
9; 1; 1; 3; 2; 76
9; 1; 1; 3; 5; 49
9; 1; 1; 3; 9; 75
9; 1; 1; 3; 12; 63
9; 1; 1; 3; 17; 60
9; 1; 1; 3; 17; 67
9; 1; 1; 3; 17; 68
9; 1; 1; 3; 19; 69
9; 1; 2; 0; 16; 80
9; 1; 2; 1; 2; 62
9; 1; 2; 1; 2; 63
9; 1; 2; 1; 8; 90
9; 1; 2; 1; 9; 90
9; 1; 2; 1; 10; 45
9; 1; 2; 1; 18; 77
9; 1; 2; 1; 18; 79
9; 1; 2; 2; 0; 90
9; 1; 2; 2; 1; 53
9; 1; 2; 2; 1; 60
9; 1; 2; 2; 1; 61
9; 1; 2; 2; 1; 62
9; 1; 2; 2; 2; 60
9; 1; 2; 2; 2; 70
9; 1; 2; 2; 4; 91
9; 1; 2; 2; 15; 55
9; 1; 2; 2; 15; 86
9; 1; 2; 2; 15; 87
9; 1; 2; 2; 15; 88
9; 1; 2; 2; 15; 89
9; 1; 2; 2; 15; 90
9; 1; 2; 2; 17; 46
9; 1; 2; 2; 18; 42
9; 1; 2; 3; 0; 65
9; 1; 2; 3; 0; 74
9; 1; 2; 3; 0; 75
9; 1; 2; 3; 0; 76
9; 1; 2; 3; 1; 55
9; 1; 2; 3; 1; 56
9; 1; 2; 3; 1; 58
9; 1; 2; 3; 1; 66
9; 1; 2; 3; 2; 89
9; 1; 2; 3; 2; 90
9; 1; 2; 3; 4; 11
9; 1; 2; 3; 4; 73
9; 1; 2; 3; 5; 59
9; 1; 2; 3; 6; 50
9; 1; 2; 3; 6; 59
9; 1; 2; 3; 6; 66
9; 1; 2; 3; 6; 74
9; 1; 2; 3; 11; 75
9; 1; 2; 3; 11; 76
9; 1; 2; 3; 12; 48
9; 1; 2; 3; 13; 66
9; 1; 2; 3; 15; 44
