Ns_mhe;  Co_lvl;  Marker_noise;  EMG_noise;  nb_try;  iter
9; 0; 0; 2; 3; 73
9; 0; 0; 2; 14; 67
9; 0; 0; 3; 0; 72
9; 0; 0; 3; 9; 64
9; 0; 0; 3; 9; 65
9; 0; 0; 3; 9; 66
9; 0; 0; 3; 12; 49
9; 0; 0; 3; 12; 54
9; 0; 0; 3; 16; 75
9; 0; 0; 3; 16; 88
9; 0; 0; 3; 16; 91
9; 0; 0; 3; 18; 44
9; 0; 1; 0; 0; 79
9; 0; 1; 0; 9; 80
9; 0; 1; 0; 13; 62
9; 0; 1; 2; 2; 60
9; 0; 1; 2; 4; 74
9; 0; 1; 2; 4; 75
9; 0; 1; 2; 4; 76
9; 0; 1; 2; 4; 77
9; 0; 1; 2; 15; 61
9; 0; 1; 2; 15; 82
9; 0; 1; 3; 4; 59
9; 0; 1; 3; 4; 60
9; 0; 1; 3; 4; 62
9; 0; 1; 3; 5; 52
9; 0; 1; 3; 5; 53
9; 0; 1; 3; 5; 54
9; 0; 1; 3; 5; 55
9; 0; 1; 3; 5; 56
9; 0; 1; 3; 6; 37
9; 0; 1; 3; 10; 52
9; 0; 1; 3; 10; 53
9; 0; 1; 3; 11; 24
9; 0; 1; 3; 16; 70
9; 0; 1; 3; 17; 3
9; 0; 2; 0; 5; 77
9; 0; 2; 2; 10; 19
9; 0; 2; 2; 13; 31
9; 0; 2; 3; 1; 84
9; 0; 2; 3; 2; 26
9; 0; 2; 3; 6; 49
9; 0; 2; 3; 7; 4
9; 0; 2; 3; 7; 14
9; 0; 2; 3; 7; 43
9; 0; 2; 3; 12; 72
9; 0; 2; 3; 16; 35
9; 0; 2; 3; 17; 71
9; 0; 3; 1; 9; 49
9; 0; 3; 2; 0; 12
9; 0; 3; 2; 0; 13
9; 0; 3; 2; 9; 57
9; 0; 3; 2; 17; 66
9; 0; 3; 3; 4; 55
9; 0; 3; 3; 4; 84
9; 0; 3; 3; 4; 85
9; 0; 3; 3; 4; 88
9; 0; 3; 3; 7; 11
9; 0; 3; 3; 9; 3
9; 0; 3; 3; 14; 41
9; 0; 3; 3; 17; 7
9; 0; 3; 3; 17; 42
9; 0; 3; 3; 18; 89
9; 0; 3; 3; 18; 90
9; 1; 0; 0; 0; 89
9; 1; 0; 0; 1; 89
9; 1; 0; 0; 2; 89
9; 1; 0; 0; 3; 89
9; 1; 0; 0; 4; 89
9; 1; 0; 0; 5; 89
9; 1; 0; 0; 6; 89
9; 1; 0; 0; 7; 89
9; 1; 0; 0; 8; 89
9; 1; 0; 0; 9; 89
9; 1; 0; 0; 10; 89
9; 1; 0; 0; 11; 89
9; 1; 0; 0; 12; 89
9; 1; 0; 0; 13; 89
9; 1; 0; 0; 14; 89
9; 1; 0; 0; 15; 89
9; 1; 0; 0; 16; 89
9; 1; 0; 0; 17; 89
9; 1; 0; 0; 18; 89
9; 1; 0; 0; 19; 89
9; 1; 0; 1; 0; 85
9; 1; 0; 1; 1; 56
9; 1; 0; 1; 1; 68
9; 1; 0; 1; 1; 76
9; 1; 0; 1; 2; 69
9; 1; 0; 1; 2; 85
9; 1; 0; 1; 4; 66
9; 1; 0; 1; 4; 67
9; 1; 0; 1; 4; 75
9; 1; 0; 1; 4; 84
9; 1; 0; 1; 4; 85
9; 1; 0; 1; 6; 43
9; 1; 0; 1; 6; 80
9; 1; 0; 1; 6; 81
9; 1; 0; 1; 6; 88
9; 1; 0; 1; 6; 90
9; 1; 0; 1; 11; 65
9; 1; 0; 1; 11; 66
9; 1; 0; 1; 11; 67
9; 1; 0; 1; 11; 68
9; 1; 0; 1; 11; 81
9; 1; 0; 1; 11; 82
9; 1; 0; 1; 13; 69
9; 1; 0; 1; 13; 76
9; 1; 0; 1; 13; 84
