Ns_mhe;  Co_lvl;  Marker_noise;  EMG_noise;  nb_try;  iter
9; 0; 1; 0; 6; 89
9; 0; 1; 1; 6; 71
9; 0; 1; 1; 8; 60
9; 0; 1; 3; 6; 7
9; 0; 1; 3; 6; 66
9; 0; 2; 0; 1; 59
9; 0; 2; 1; 1; 91
9; 0; 2; 1; 5; 65
9; 0; 2; 2; 14; 89
9; 0; 2; 3; 0; 16
9; 0; 2; 3; 16; 5
9; 0; 3; 1; 5; 4
9; 0; 3; 3; 17; 69
9; 1; 1; 0; 1; 88
9; 1; 1; 0; 11; 8
9; 1; 1; 1; 9; 7
9; 1; 1; 1; 13; 7
9; 1; 2; 0; 15; 91
9; 1; 2; 2; 12; 3
9; 1; 2; 3; 5; 90
9; 1; 3; 1; 3; 67
9; 2; 0; 0; 0; 88
9; 2; 0; 0; 1; 88
9; 2; 0; 0; 2; 88
9; 2; 0; 0; 3; 88
9; 2; 0; 0; 4; 88
9; 2; 0; 0; 5; 88
9; 2; 0; 0; 6; 88
9; 2; 0; 0; 7; 88
9; 2; 0; 0; 8; 88
9; 2; 0; 0; 9; 88
9; 2; 0; 0; 10; 88
9; 2; 0; 0; 11; 88
9; 2; 0; 0; 12; 88
9; 2; 0; 0; 13; 88
9; 2; 0; 0; 14; 88
9; 2; 0; 0; 15; 88
9; 2; 0; 0; 16; 88
9; 2; 0; 0; 17; 88
9; 2; 0; 0; 18; 88
9; 2; 0; 0; 19; 88
9; 2; 0; 1; 0; 88
9; 2; 0; 1; 1; 88
9; 2; 0; 1; 2; 88
9; 2; 0; 1; 3; 88
9; 2; 0; 1; 4; 88
9; 2; 0; 1; 5; 88
9; 2; 0; 1; 6; 88
9; 2; 0; 1; 7; 88
9; 2; 0; 1; 8; 88
9; 2; 0; 1; 9; 88
9; 2; 0; 1; 10; 88
9; 2; 0; 1; 11; 88
9; 2; 0; 1; 12; 88
9; 2; 0; 1; 13; 88
9; 2; 0; 1; 14; 88
9; 2; 0; 1; 15; 88
9; 2; 0; 1; 16; 88
9; 2; 0; 1; 17; 88
9; 2; 0; 1; 18; 88
9; 2; 0; 1; 19; 88
9; 2; 0; 2; 0; 88
9; 2; 0; 2; 1; 88
9; 2; 0; 2; 2; 88
9; 2; 0; 2; 3; 88
9; 2; 0; 2; 4; 88
9; 2; 0; 2; 5; 88
9; 2; 0; 2; 6; 88
9; 2; 0; 2; 7; 88
9; 2; 0; 2; 8; 88
9; 2; 0; 2; 9; 88
9; 2; 0; 2; 10; 88
9; 2; 0; 2; 11; 88
9; 2; 0; 2; 12; 88
9; 2; 0; 2; 13; 88
9; 2; 0; 2; 14; 88
9; 2; 0; 2; 15; 88
9; 2; 0; 2; 16; 88
9; 2; 0; 2; 17; 88
9; 2; 0; 2; 18; 88
9; 2; 0; 2; 19; 88
9; 2; 0; 3; 0; 88
9; 2; 0; 3; 1; 88
9; 2; 0; 3; 2; 88
9; 2; 0; 3; 3; 88
9; 2; 0; 3; 4; 88
9; 2; 0; 3; 5; 88
9; 2; 0; 3; 6; 88
9; 2; 0; 3; 7; 88
9; 2; 0; 3; 8; 88
9; 2; 0; 3; 9; 88
9; 2; 0; 3; 10; 88
9; 2; 0; 3; 11; 88
9; 2; 0; 3; 12; 88
9; 2; 0; 3; 13; 88
9; 2; 0; 3; 14; 88
9; 2; 0; 3; 15; 88
9; 2; 0; 3; 16; 88
9; 2; 0; 3; 17; 88
9; 2; 0; 3; 18; 88
9; 2; 0; 3; 19; 88
9; 2; 1; 0; 6; 90
9; 2; 1; 1; 4; 9
9; 2; 1; 1; 12; 91
9; 2; 1; 2; 7; 7
9; 2; 1; 3; 17; 6
9; 2; 2; 0; 1; 90
9; 2; 2; 1; 4; 80
9; 2; 2; 1; 11; 2
9; 2; 2; 1; 17; 86
9; 2; 2; 1; 17; 87
9; 2; 2; 1; 17; 88
9; 2; 2; 1; 17; 89
9; 2; 2; 1; 17; 91
9; 2; 2; 1; 19; 89
9; 2; 2; 2; 3; 7
9; 2; 2; 3; 1; 91
9; 2; 2; 3; 2; 91
9; 2; 2; 3; 13; 82
9; 2; 2; 3; 16; 81
9; 2; 3; 0; 16; 66
9; 2; 3; 0; 19; 84
9; 2; 3; 1; 13; 75
9; 2; 3; 1; 16; 11
9; 2; 3; 2; 7; 88
9; 2; 3; 2; 10; 91
9; 2; 3; 2; 14; 85
9; 2; 3; 2; 19; 76
9; 2; 3; 3; 0; 91
9; 2; 3; 3; 11; 81
9; 2; 3; 3; 13; 86
9; 3; 1; 0; 5; 9
9; 3; 1; 1; 11; 7
9; 3; 1; 1; 11; 8
9; 3; 1; 2; 3; 13
9; 3; 1; 2; 5; 10
9; 3; 1; 3; 2; 59
9; 3; 1; 3; 19; 12
9; 3; 2; 1; 1; 5
9; 3; 2; 1; 19; 71
9; 3; 3; 0; 9; 78
9; 3; 3; 3; 9; 62
9; 3; 3; 3; 11; 10
