Ns_mhe;  Co_lvl;  Marker_noise;  EMG_noise;  nb_try;  iter
9; 0; 1; 0; 18; 12
9; 0; 1; 0; 19; 6
9; 0; 3; 0; 2; 16
9; 1; 0; 0; 0; 12
9; 1; 0; 0; 1; 12
9; 1; 0; 0; 2; 12
9; 1; 0; 0; 3; 12
9; 1; 0; 0; 4; 12
9; 1; 0; 0; 5; 12
9; 1; 0; 0; 6; 12
9; 1; 0; 0; 7; 12
9; 1; 0; 0; 8; 12
9; 1; 0; 0; 9; 12
9; 1; 0; 0; 10; 12
9; 1; 0; 0; 11; 12
9; 1; 0; 0; 12; 12
9; 1; 0; 0; 13; 12
9; 1; 0; 0; 14; 12
9; 1; 0; 0; 15; 12
9; 1; 0; 0; 16; 12
9; 1; 0; 0; 17; 12
9; 1; 0; 0; 18; 12
9; 1; 0; 0; 19; 12
9; 1; 2; 0; 9; 18
9; 1; 2; 0; 11; 64
9; 1; 2; 0; 15; 50
9; 1; 3; 0; 3; 18
9; 1; 3; 0; 4; 15
9; 1; 3; 0; 4; 16
9; 1; 3; 0; 4; 17
9; 1; 3; 0; 17; 15
9; 2; 1; 0; 0; 61
9; 2; 1; 0; 13; 9
9; 2; 1; 0; 14; 21
9; 2; 1; 0; 14; 22
9; 2; 2; 0; 8; 38
9; 2; 2; 0; 8; 39
9; 2; 2; 0; 8; 40
9; 2; 2; 0; 8; 41
9; 2; 2; 0; 8; 44
9; 2; 2; 0; 18; 18
9; 2; 2; 0; 18; 19
9; 2; 2; 0; 19; 49
9; 3; 1; 0; 5; 32
9; 3; 1; 0; 7; 7
9; 3; 2; 0; 3; 15
9; 3; 3; 0; 0; 6
9; 3; 3; 0; 5; 21
9; 3; 3; 0; 9; 15
9; 3; 3; 0; 11; 19
9; 3; 3; 0; 13; 18
9; 3; 3; 0; 14; 39
9; 3; 3; 0; 16; 16
9; 3; 3; 0; 16; 17
9; 3; 3; 0; 16; 19
9; 3; 3; 0; 18; 15
9; 3; 3; 0; 18; 16
9; 3; 3; 0; 18; 17
9; 3; 3; 0; 18; 18
9; 3; 3; 0; 18; 19
